High_n-Low_n,Open_n-Close_n,SMA_20-SMA_10,Close_n_slope_3,Close_n_slope_5,Close_n_slope_10,Open_n_changelen,High_n_changelen,Low_n_changelen,Close_n_changelen,High_n-Low_n_changelen,Open_n-Close_n_changelen,SMA_20-SMA_10_changelen,Close_n_slope_3_changelen,Close_n_slope_5_changelen,Close_n_slope_10_changelen,row_num,Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,Open_n,High_n,Low_n,Close_n,SMA_10,SMA_20,VOL_SMA_20,RSI_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,VWAP_D,MOM_30,CMO_14,era,id,target_5_val,target_10_val,target_5,target_10
0.01183958264421281,-0.0015903896862559108,-0.01360665233588021,-0.00235611539201915,0.002898037436342804,0.00019438171064669607,-2,-3,1,1,-1,-2,-10,-3,1,-3,10,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,1.0,0.0,0.0,0.0,1.0,0.75,0.25,0.25,0.75,0.75,0.5,0.0,0.0,0.0,0.75,0.0,1.0171408591286029,1.0208517459267372,1.0090121632825244,1.0187312488148588,1.0136066523358802,1.0,1.0,1.0,1.0026283435883394,1.0176002945520608,1.0325722455157822,2.942599573501877,0.5377691012192862,1.0,1.0,1.0,1.0135660215422617,1.0,1.0,1018,BOPY.AF,0.0,0.0,-0.007775268425867399,-0.0038876342129336994
0.01342997233046872,-0.0031807793725115996,-0.013854044789089137,-0.0010602597908371998,0.0030747444055095217,0.00024739245320895,-3,-4,-1,2,1,-3,-11,1,2,1,11,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.5,1.0,0.75,0.0,0.0,0.75,1.0,0.75,1.0160805768679697,1.0208517459267372,1.0074217735962685,1.0192613562404813,1.0138540447890891,1.0,1.0,1.0,1.0145008377211022,1.0206750389575703,1.0268492401940383,1.209827026391055,0.3855169549107808,1.0,1.0,1.0,1.013995819011466,1.0,1.0,1018,BOPY.AF,0.25,0.0,-0.0014137096808441996,-0.010249192957956899
0.009542338117534799,0.00212049711187845,-0.013801034046526883,-0.0006479390354889129,-0.00212051059375602,-5.301074256225391e-05,1,2,1,-1,-1,1,1,2,-1,-1,12,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.25,0.75,1.0,0.75,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0173175391340146,1.024739380139671,1.0151970420221361,1.0151970420221361,1.0138010340465269,1.0,1.0,1.0,1.0137449129005933,1.0185545283638144,1.0233641438270356,0.9444001924859511,0.1509610417555371,1.0,1.0,1.0,1.0144833328396534,1.0,1.0,1018,BOPY.AF,1.0,0.0,0.005831383910012589,-0.007775268425867621
0.002650604537500989,-0.000883534845833589,-0.013871719530569093,-0.0035342067927227236,-0.002862701435260462,7.068548404220998e-05,-1,-1,-1,-2,-2,-1,-1,-1,-2,1,13,0.75,0.75,0.75,0.75,0.5,1.0,0.75,0.5,0.75,0.25,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.75,1.007245093590857,1.0081286284366906,1.0054780238991896,1.0081286284366906,1.013871719530569,1.0,1.0,1.0,1.007615882265079,1.015691826928554,1.023767771592029,1.5902352365868027,0.031745275195523975,1.0,1.0,1.0,1.0141522791337398,1.0,1.0,1018,BOPY.AF,1.0,0.5,0.00954233811753502,-0.0003534274202110499
0.0053012764843900495,-0.0001766800054114892,-0.015091013796072694,-0.0010602597908371998,-0.00021205645212662994,0.001219294265503601,1,1,1,1,1,1,-2,1,1,2,14,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.5,1.0,0.5,0.0,0.0,0.25,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.25,0.75,0.75,1.0,1.0159038968625582,1.0212051733469483,1.0159038968625582,1.0160805768679697,1.0150910137960727,1.0,1.0,51.02164104395328,1.007512201448747,1.0154797704764271,1.0234473395041073,1.5692225998637161,0.5377032435775155,1.0,1.0,1.0,1.014193105936347,1.0,2.0432820879065527,1018,BOPY.AF,0.0,0.0,-0.011309407809202199,-0.00795194843127911
0.00017668000541171125,-0.00017668000541171125,-0.015762505671657268,-0.0014136872110482497,-0.0015550536851734798,0.0006714918755846621,-1,-1,-1,-1,-1,-1,-3,-1,-1,-1,15,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.25,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,1.0107793003835797,1.0109559803889914,1.0107793003835797,1.0109559803889914,1.0157625056716573,1.0,1.0,45.409543269673144,1.0060682900811218,1.0139247167912537,1.0217811435013857,1.549706123151835,0.31106318993380583,1.0,1.0,1.0,1.014153133719991,1.0,-9.180913460653711,1018,BOPY.AF,1.0,0.0,0.0038876342129336994,-0.003004031957712261
0.00795194843127911,-0.0070683461760574495,-0.017158506906327586,0.0032396727076488365,-0.0002827419361688399,0.001396001234670341,-2,1,-2,1,1,-2,-4,1,1,1,16,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.5,1.0,0.0,0.0,1.0,0.25,1.0,0.25,0.75,0.25,0.75,0.75,0.0,0.25,0.75,0.75,0.75,1.0107793003835797,1.0187312488148588,1.0107793003835797,1.017847646559637,1.0171585069063276,1.0,1.0,52.910909214205944,1.0065053513868687,1.013641974855085,1.020778598323301,1.408115221202532,0.7946541682689774,1.0,1.0,1.0,1.0141683314921033,1.0,5.821818428411897,1018,BOPY.AF,0.0,0.0,-0.008835483277112699,-0.00901216328252441
0.0,0.0,-0.01668139000045099,0.0016492830213929999,0.0011662767820025178,-0.00047711690587675103,2,2,2,2,-1,1,1,-1,2,-1,17,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.75,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0210284259321487,1.0210284259321487,1.0210284259321487,1.0210284259321487,1.016681390000451,1.0,1.0,55.921452637193816,1.0054699579549422,1.0148082516370875,1.0241465453192329,1.8404055479605754,0.8330466200133562,1.0,1.0,1.0,1.0141700723382647,1.0,11.842905274387622,1018,BOPY.AF,0.0,0.0,-0.01360665233588021,-0.013076477500869599
0.0,0.0,-0.016204273094574173,0.00223832872174475,0.0019084676235070041,-0.00047711690587672886,-1,-1,-1,-1,-2,2,2,1,3,1,18,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.75,1.0,0.75,1.0176709665542256,1.0176709665542256,1.0176709665542256,1.0176709665542256,1.0162042730945742,1.0,1.0,52.13269625135542,1.0101214974529429,1.0167167192605944,1.0233119410682459,1.297356811924535,0.5723438363001054,1.0,1.0,1.0,1.0141706645057573,1.0,4.265392502710829,1018,BOPY.AF,0.0,0.0,-0.00989576553774607,-0.01219294265503601
0.01307654491025767,0.01289979749545811,-0.0007775167311785403,-0.004358825833623199,-0.00226188156184044,-0.001236969006983535,-2,-2,-2,-2,2,3,3,-1,-1,-1,19,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.75,0.5,0.75,0.5,0.5,0.5,1.0176709665542256,1.0176709665542256,1.004594421643968,1.0047711690587675,1.0149673040875906,1.014189787356412,725.55,40.718059017582235,1.0027558756987525,1.014454837698754,1.0261537996987558,2.3064529962793063,0.08613128925518193,1.0,1.0,1.0,1.0132154696597448,1.0,-18.56388196483552,1018,BOPY.AF,1.0,0.5,0.003357459377923089,0.000883534845833589
